datetime,GLD,cash,commission,total,returns,equity_curve,drawdown
2022-09-27,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-28,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-29,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-30,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-03,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-04,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-05,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-06,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-07,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-10,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-11,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-12,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-13,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-14,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-17,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-18,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-19,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-20,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-21,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-24,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-25,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-26,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-27,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-10-28,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
